color,name,japanese,english
0xf9a1d0,鴇色,ときいろ,
0xcb4b94,躑躅色,つつじいろ,
0xffdbed,桜色,さくらいろ,
0xd34778,薔薇色,ばらいろ,
0xe3557f,韓紅花,からくれない,
0xff87a0,珊瑚色,さんごいろ,
0xe08899,紅梅色,こうばいいろ,
0xe38698,桃色,ももいろ,
0xbd1e48,紅色,べにいろ,
0xb92946,紅赤,べにあか,
0xae3846,臙脂,えんじ,
0x974b52,蘇芳,すおう,
0xa0283a,茜色,あかねいろ,
0xbf1e33,赤,あか,
0xed514e,朱色,しゅいろ,
0xa14641,紅樺色,べにかばいろ,
0xee5145,紅緋,べにひ,
0xd3503c,鉛丹色,えんたんいろ,
0x703b32,紅海老茶,べにえびちゃ,
0x7d483e,鳶色,とびいろ,
0x946259,小豆色,あずきいろ,
0x8a4031,弁柄色,べんがら,
0x6d3d33,海老茶,えびちゃ,
0xed542a,金赤,きんあか,
0xb15237,赤茶,あかちゃ,
0x923a21,赤錆色,あかさびいろ,
0xef6d3e,黄丹,おうに,
0xed551b,赤橙,あかだいだい,
0xe06030,柿色,かきいろ,
0xb97761,肉桂色,にっけいいろ,
0xbd4a1d,樺色,かばいろ,
0x974e33,煉瓦色,れんがいろ,
0x664134,錆色,さびいろ,
0x8a604f,檜皮色,ひわだいろ,
0x754c38,栗色,くりいろ,
0xe45e00,黄赤,きあか,
0xba6432,代赭,たいしゃ,
0xb67a52,駱駝色,らくだいろ,
0xbb6421,黄茶,きちゃ,
0xf4be9b,肌色,はだいろ,
0xfd7e00,橙色,だいだいいろ,
0x866955,灰茶,はいちゃ,
0x734e30,茶色,ちゃいろ,
0x594639,焦茶,こげちゃ,
0xffa75e,柑子色,こうじいろ,
0xdda273,杏色,あんずいろ,
0xfa8000,蜜柑色,みかんいろ,
0x763900,褐色,かっしょく,
0xa96e2d,土色,つちいろ,
0xd9a46d,小麦色,こむぎいろ,
0xc67400,琥珀色,こはくいろ,
0xc47600,金茶,きんちゃ,
0xfabe6f,卵色,たまごいろ,
0xffa500,山吹色,やまぶきいろ,
0xc18a39,黄土色,おうどいろ,
0x897868,朽葉色,くちばいろ,
0xffb500,向日葵色,ひまわりいろ,
0xfcac00,鬱金色,うこんいろ,
0xc9b9a8,砂色,すないろ,
0xcda966,芥子色,からしいろ,
0xffbe00,黄色,きいろ,
0xffbe00,蒲公英色,たんぽぽいろ,
0x70613a,鶯茶,うぐいすちゃ,
0xfad43a,中黄,ちゅうき,
0xeed67e,刈安色,かりやすいろ,
0xd9cb65,黄蘗色,きはだいろ,
0x736f55,海松色,みるいろ,
0xc2c05c,鶸色,ひわいろ,
0x71714a,鶯色,うぐいすいろ,
0xbdbf92,抹茶色,まっちゃいろ,
0xb9c42f,黄緑,きみどり,
0x7a7f46,苔色,こけいろ,
0xa9b735,若草色,わかくさいろ,
0x96aa3d,萌黄,もえぎ,
0x72814b,草色,くさいろ,
0xafc297,若葉色,わかばいろ,
0x6e815c,松葉色,まつばいろ,
0xcadbcf,白緑,びゃくろく,
0x4db56a,緑,みどり,
0x357c4c,常磐色,ときわいろ,
0x5f836d,緑青色,りょくしょういろ,
0x4a6956,千歳緑,ちとせみどり,
0x005731,深緑,ふかみどり,
0x15543b,萌葱色,もえぎいろ,
0x49a581,若竹色,わかたけいろ,
0x80aa9f,青磁色,せいじいろ,
0x7aaaac,青竹色,あおたけいろ,
0x244344,鉄色,てついろ,
0x0090a8,青緑,あおみどり,
0x6c8d9b,錆浅葱,さびあさぎ,
0x7a99aa,水浅葱,みずあさぎ,
0x69aac6,新橋色,しんばしいろ,
0x0087aa,浅葱色,あさぎいろ,
0x84b5cf,白群,びゃくぐん,
0x166a88,納戸色,なんどいろ,
0x8cb4ce,甕覗き,かめのぞき,
0xa9ceec,水色,みずいろ,
0x5e7184,藍鼠,あいねず,
0x95c0ec,空色,そらいろ,
0x0067c0,青,あお,
0x2e4b71,藍色,あいいろ,
0x20324e,濃藍,こいあい,
0x92afe4,勿忘草色,わすれなぐさいろ,
0x3d7cce,露草色,つゆくさいろ,
0x3c639b,縹色,はなだいろ,
0x3d496b,紺青,こんじょう,
0x3451a4,瑠璃色,るりいろ,
0x324784,瑠璃紺,るりこん,
0x333c5e,紺色,こんいろ,
0x4c5dab,杜若色,かきつばたいろ,
0x383c57,勝色,かちいろ,
0x414fa3,群青色,ぐんじょういろ,
0x232538,鉄紺,てつこん,
0x6869a8,藤納戸,ふじなんど,
0x4a49ad,桔梗色,ききょういろ,
0x35357d,紺藍,こんあい,
0xa09bd8,藤色,ふじいろ,
0x948bdb,藤紫,ふじむらさき,
0x704cbc,青紫,あおむらさき,
0x6d52ab,菫色,すみれいろ,
0x675d7e,鳩羽色,はとばいろ,
0x7051aa,菖蒲色,しょうぶいろ,
0x5f4c86,江戸紫,えどむらさき,
0xa260bf,紫,むらさき,
0x775686,古代紫,こだいむらさき,
0x47384f,茄子紺,なすこん,
0x402949,紫紺,しこん,
0xc27bc8,菖蒲色,あやめいろ,
0xc24dae,牡丹色,ぼたんいろ,
0xc54ea0,赤紫,あかむらさき,
0xf1f1f1,白,しろ,
0xf2e8ec,胡粉色,ごふんいろ,
0xf0e2e0,生成り色,きなりいろ,
0xe3d4ca,象牙色,ぞうげいろ,
0xa0a0a0,銀鼠,ぎんねず,
0x9f9190,茶鼠,ちゃねずみ,
0x868686,鼠色,ねずみいろ,
0x787c7a,利休鼠,りきゅうねずみ,
0x797a88,鉛色,なまりいろ,
0x797979,灰色,はいいろ,
0x605448,煤竹色,すすたけいろ,
0x3e2e28,黒茶,くろちゃ,
0x313131,墨,すみ,
0x262626,黒,くろ,
0x262626,鉄黒,てつぐろ,
,金色,きんいろ,
,銀色,ぎんいろ,
0xef93b6,ローズピンク,ろーずぴんく,rose pink
0xaf3168,コチニールレッド,こちにーるれっど,cochineal red
0xb91e68,ルビーレッド,るびーれっど,ruby red
0x83274e,ワインレッド,わいんれっど,wine red
0x452a35,バーガンディー,ばーがんでぃー,burgundy
0xc97f96,オールドローズ,おーるどろーず,old rose
0xd94177,ローズ,ろーず,rose
0xbb1e5e,ストロベリー,すとろべりー,strawberry
0xff87a0,コーラルレッド,こーらるれっど,coral red
0xeb97a8,ピンク,ぴんく,pink
0x55353b,ボルドー,ぼるどー,bordeaux
0xffc9d2,ベビーピンク,べびーぴんく,baby pink
0xdd4157,ポピーレッド,ぽぴーれっど,poppy red
0xce314a,シグナルレッド,しぐなるれっど,signal red
0xbe1e3e,カーマイン,かーまいん,carmine
0xde424c,レッド,れっど,red
0xde424c,トマトレッド,とまとれっど,tomato red
0x682a2b,マルーン,まるーん,marron
0xed514e,バーミリオン,ばーみりおん,vermilion
0xde4335,スカーレット,すかーれっと,scarlet
0xac5647,テラコッタ,てらこった,terracotta
0xffa594,サーモンピンク,さーもんぴんく,salmon pink
0xfbccc3,シェルピンク,しぇるぴんく,shell pink
0xf1beb1,ネールピンク,ねーるぴんく,nail pink
0xff5d20,チャイニーズレッド,ちゃいにーずれっど,Chinese red
0xcc572c,キャロットオレンジ,きゃろっとおれんじ,Carrot orange
0xa8593c,バーントシェンナ,ばーんとしぇんな,burnt siennna
0x52372f,チョコレート,ちょこれーと,chocolate
0x9a753a,カーキー,かーきー,khaki
0xe3b466,ブロンド,ぶろんど,blond
0x754c38,ココアブラウン,ここあぶらうん,cocoa brown
0xebc0af,ピーチ,ぴーち,peach
0xbb6421,ローシェンナ,ろーしぇんな,raw sienna
0xfd7e00,オレンジ,おれんじ,Orange
0x734e31,ブラウン,ぶらうん,brown
0xdda273,アプリコット,あぷりこっと,apricot
0xa56f3f,タン,たん,tan
0xfd951e,マンダリンオレンジ,まんだりんおれんじ,mandarin orange
0xa58161,コルク,こるく,cork
0xf8cfae,エクルベイジュ,えくるべいじゅ,ecru beige
0xf39a38,ゴールデンイエロー,ごーるでんいえろー,golden yellow
0xffa000,マリーゴールド,まりーごーるど,marigold
0xc5996d,バフ,ばふ,buff
0xb37d40,アンバー,あんばー,amber
0x815a2b,ブロンズ,ぶろんず,bronze
0xc1ab96,ベージュ,べーじゅ,beige
0xc18a39,イエローオーカー,いえろーおーかー,yellow ocher
0x5b462a,バーントアンバー,ばーんとあんばー,burnt umber
0x4a3b2a,セピア,せぴあ,Sepia
0xf2c26b,ネープルスイエロー,ねーぷるすいえろー,Naples yellow
0xe1c59b,レグホーン,れぐほーん,leghorn
0x7f5c13,ローアンバー,ろーあんばー,raw umber
0xffbc00,クロムイエロー,くろむいえろー,chrome yellow
0xffcc00,イエロー,いえろー,yellow
0xe8d5af,クリームイエロー,くりーむいえろー,cream yellow
0xffcc00,ジョンブリアン,じょんぶりあん,jaune brillant
0xf7d54e,カナリヤ,かなりや,canary yellow
0x68624e,オリーブドラブ,おりーぶどらぶ,olive drab
0x605627,オリーブ,おりーぶ,olive
0xe8c800,レモンイエロー,れもんいえろー,lemon yellow
0x565838,オリーブグリーン,おりーぶぐりーん,olive green
0xbdd458,シャトルーズグリーン,しゃとるーずぐりーん,chartreuse green
0x879d4e,リーフグリーン,りーふぐりーん,leaf green
0x737c3e,グラスグリーン,ぐらすぐりーん,grass green
0x9ab961,シーグリーン,しーぐりーん,sea green
0x516a39,アイビーグリーン,あいびーぐりーん,ivy green
0xb0d3a8,アップルグリーン,あっぷるぐりーん,apple green
0x81cc91,ミントグリーン,みんとぐりーん,mint green
0x2a9b50,グリーン,ぐりーん,green
0x5dc288,コバルトグリーン,こばるとぐりーん,cobalt green
0x4da573,エメラルドグリーン,えめらるどぐりーん,emerald green
0x008047,マラカイトグリーン,まらかいとぐりーん,malachite green
0x264435,ボトルグリーン,ぼとるぐりーん,bottle green
0x3e795c,フォレストグリーン,ふぉれすとぐりーん,forest green
0x156f5c,ビリジアン,びりじあん,viridian
0x004840,ビリヤードグリーン,びりやーどぐりーん,billiard green
0x007f91,ピーコックグリーン,ぴーこっくぐりーん,peacoch green
0x5190a4,ナイルブルー,ないるぶるー,Nile blue
0x00708b,ピーコックブルー,ぴーこっくぶるー,peacoch blue
0x399ecc,ターコイズブルー,たーこいずぶるー,turquoise blue
0x005175,マリンブルー,まりんぶるー,marine blue
0x91b2d2,ホリゾンブルー,ほりぞんぶるー,horizon blue
0x219ddd,シアン,しあん,cyan
0x95c0ec,スカイブルー,すかいぶるー,sky blue
0x0b74af,セルリアンブルー,せるりあんぶるー,cerulean blue
0xabbdda,ベビーブルー,べびーぶるー,baby blue
0x627da1,サックスブルー,さっくすぶるー,sax blue
0x3170b9,ブルー,ぶるー,blue
0x2863ab,コバルトブルー,こばるとぶるー,cobalt blue
0x3d496b,アイアンブルー,あいあんぶるー,iron blue
0x3d496b,プルシャンブルー,ぷるしゃんぶるー,Prussian blue
0x00152d,ミッドナイトブルー,みっどないとぶるー,midnight blue
0x7586bb,ヒヤシンス,ひやしんす,hyacinth
0x333c5e,ネービーブルー,ねーびーぶるー,navy blue
0x414fa3,ウルトラマリンブルー,うるとらまりんぶるー,ultramarine blue
0x37438f,オリエンタルブルー,おりえんたるぶるー,oriental blue
0x776ed2,ウィスタリア,うぃすたりあ,wistaris
0x40317e,パンジー,ぱんじー,pansy
0x836dc5,ヘリオトロープ,へりおとろーぷ,heliotorope
0x6d52ab,バイオレット,ばいおれっと,violet
0x9e8eae,ラベンダー,らべんだー,lavender
0x835fa8,モーブ,もーぶ,mauve
0xc2a2da,ライラック,らいらっく,lilac
0xc7a1d7,オーキッド,おーきっど,orchid
0xa260bf,パープル,ぱーぷる,purple
0xc949a2,マゼンタ,まぜんた,magenta
0xcf61a5,チェリーピンク,ちぇりーぴんく,cherry pink
0xc74f90,ローズレッド,ろーずれっど,rose red
0xf1f1f1,ホワイト,ほわいと,white
0xf1f1f1,スノーホワイト,すのーほわいと,snow white
0xe3d4ca,アイボリー,あいぼりー,ivory
0xbabac6,スカイグレイ,すかいぐれい,sky grey
0xadadad,パールグレイ,ぱーるぐれい,pearl grey
0xa0a0a0,シルバーグレイ,しるばーぐれい,silver grey
0x939393,アッシュグレイ,あっしゅぐれい,ash grey
0x93848b,ローズグレイ,ろーずぐれい,rose grey
0x797979,グレイ,ぐれい,grey
0x736c79,スチールグレイ,すちーるぐれい,steel grey
0x56555e,スレートグレイ,すれーとぐれい,slate grey
0x4e4854,チャコールグレイ,ちゃこーるぐれい,charcoal grey
0x1c1c1c,ランプブラック,らんぷぶらっく,kamp black
0x1c1c1c,ブラック,ぶらっく,black
